"id_no","binomial"
1892,"Apodemus flavicollis"
1904,"Apodemus sylvaticus"
2149,"Arvicola amphibius"
2553,"Barbastella barbastellus"
42395,"Capreolus capreolus"
41785,"Cervus elaphus"
29652,"Crocidura russula"
7911,"Eptesicus serotinus"
29650,"Erinaceus europaeus"
60354712,"Felis silvestris"
11481,"Lemmus lemmus"
11791,"Lepus timidus"
12419,"Lutra lutra"
12848,"Martes martes"
29673,"Meles meles"
13373,"Micromys minutus"
13426,"Microtus agrestis"
13992,"Muscardinus avellanarius"
29674,"Mustela erminea"
14021,"Mustela nivalis"
41658,"Mustela putorius"
4973,"Myodes glareolus"
14123,"Myotis bechsteinii"
14125,"Myotis brandtii"
14128,"Myotis daubentonii"
14134,"Myotis mystacinus"
14135,"Myotis nattereri"
29658,"Neomys fodiens"
14919,"Nyctalus leisleri"
14920,"Nyctalus noctula"
17316,"Pipistrellus nathusii"
17317,"Pipistrellus pipistrellus"
136649,"Pipistrellus pygmaeus"
17596,"Plecotus auritus"
17597,"Plecotus austriacus"
19353,"Rattus norvegicus"
19517,"Rhinolophus ferrumequinum"
19518,"Rhinolophus hipposideros"
20025,"Sciurus vulgaris"
29661,"Sorex araneus"
29667,"Sorex minutus"
41481,"Talpa europaea"
22947,"Vespertilio murinus"
23062,"Vulpes vulpes"
